Cycle_Number,Re,Rct,Temperature,File_Name
,,,,data.csv
,0.056057833,0.200970166,,data.csv
,,,,data.csv
,0.053191859,0.164733999,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.059637915,0.210398723,,data.csv
,,,,data.csv
,0.055125054,0.175488208,,data.csv
,,,,data.csv
,0.058878485,0.190956871,,data.csv
,,,,data.csv
,0.052812822,0.172251523,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.057516601,0.19636438,,data.csv
,,,,data.csv
,0.053534245,0.177707303,,data.csv
,,,,data.csv
,0.062031131,0.200897893,,data.csv
,,,,data.csv
,0.058584904,0.18415408,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.062410515,0.214393233,,data.csv
,,,,data.csv
,0.058089441,0.186689704,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.06545446,0.221453501,,data.csv
,,,,data.csv
,0.058893561,0.202838618,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.067436998,0.231821463,,data.csv
,,,,data.csv
,0.06065747,0.213996782,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.070100154,0.22987797,,data.csv
,,,,data.csv
,0.065507182,0.203551608,,data.csv
,,,,data.csv
,0.065475046,0.236928955,,data.csv
,,,,data.csv
,0.064050183,0.203093719,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.067098245,0.230395817,,data.csv
,,,,data.csv
,0.065833351,0.220441551,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.069821037,0.247871765,,data.csv
,,,,data.csv
,0.068787809,0.213603366,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.07117358,0.23685983,,data.csv
,,,,data.csv
,0.067042457,0.223946196,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.07023261,0.243232433,,data.csv
,,,,data.csv
,0.067687003,0.222290508,,data.csv
,,,,data.csv
,0.07161978,0.234037244,,data.csv
,,,,data.csv
,0.070681085,0.195285216,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.07509561,0.238580061,,data.csv
,,,,data.csv
,0.072161644,0.213468052,,data.csv
,,,,data.csv
,0.074469924,0.22881371,,data.csv
,,,,data.csv
,0.072065784,0.216996573,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.075881556,0.217169734,,data.csv
,,,,data.csv
,0.072800527,0.216741002,,data.csv
,,,,data.csv
,0.072277377,0.237074828,,data.csv
,,,,data.csv
,0.072783284,0.215205987,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.074363602,0.234086318,,data.csv
,,,,data.csv
,0.0730047,0.221713666,,data.csv
,,,,data.csv
,0.072628331,0.24565288,,data.csv
,,,,data.csv
,0.065086718,0.214410342,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,,,,data.csv
,0.071567801,0.229174097,,data.csv
,,,,data.csv
,0.064967621,0.21137225,,data.csv
,,,,data.csv
,0.070859051,0.225367827,,data.csv
,,,,data.csv
,0.065834535,0.224819987,,data.csv
